step,loss,status
0,0.30761197209358215,warmup
1,0.03372150659561157,warmup
2,5.080892086029053,warmup
3,0.30439236760139465,warmup
4,5.610772609710693,warmup
5,0.1187213882803917,safe
6,0.3618708550930023,safe
7,0.013134468346834183,safe
8,0.0035746535286307335,safe
9,0.028638746589422226,safe
10,0.6972838044166565,safe
11,1.1190252304077148,safe
12,1.0667906999588013,safe
13,0.023926621302962303,safe
14,1.324821949005127,safe
15,2.6370599269866943,warning
16,0.6135662198066711,safe
17,0.19331015646457672,safe
18,1.4265621900558472,safe
19,2.5182735919952393,warning
20,0.07206199318170547,safe
21,0.09508192539215088,safe
22,0.15597949922084808,safe
23,0.001523211831226945,safe
24,0.557076096534729,safe
25,0.6003170013427734,safe
26,1.1087093353271484,safe
27,6.608381748199463,warning
28,1.836753249168396,reverted
29,2.0309462547302246,cooldown
30,0.037732698023319244,cooldown
31,0.02597857639193535,cooldown
32,0.09033966064453125,cooldown
33,0.8076098561286926,cooldown
34,1.3237732648849487,safe
35,5.022012233734131,warning
36,0.2977274954319,safe
37,0.0452619232237339,safe
38,2.2718698978424072,warning
39,1.1569856405258179,safe
40,6.168404579162598,warning
41,0.7907569408416748,safe
42,0.43409276008605957,safe
43,0.08036357164382935,safe
44,0.07860502600669861,safe
45,0.006446937099099159,safe
46,0.2771579921245575,safe
47,1.059287428855896,safe
48,0.11970722675323486,safe
49,0.006984099745750427,safe
50,2392.431640625,warning
51,2540.78662109375,reverted
52,2520.606201171875,cooldown
53,2369.515625,cooldown
54,2494.4091796875,cooldown
55,2520.975830078125,cooldown
56,2390.717041015625,cooldown
57,2472.780029296875,warning
58,2287.505859375,reverted
59,2578.83056640625,cooldown
60,2389.301513671875,cooldown
61,2472.31494140625,cooldown
62,2396.198974609375,cooldown
63,2512.6904296875,cooldown
64,2526.05517578125,warning
65,2768.419921875,reverted
66,2351.4287109375,cooldown
67,2495.42529296875,cooldown
68,2352.6748046875,cooldown
69,2663.48583984375,cooldown
70,2519.71142578125,cooldown
71,2.0019357204437256,warning
72,0.5388675928115845,safe
73,1.5471585988998413,warning
74,0.01387720461934805,safe
75,0.13269005715847015,safe
76,1.2499085664749146,safe
77,0.07801187038421631,safe
78,1.1228560209274292,safe
79,0.07104617357254028,safe
80,1.391991376876831,safe
81,5.585526466369629,warning
82,0.0023755498696118593,safe
83,0.7716063857078552,safe
84,0.22293803095817566,safe
85,0.11089055240154266,safe
86,0.05967099964618683,safe
87,0.7420733571052551,safe
88,0.43878600001335144,safe
89,0.35616379976272583,safe
90,0.10540854930877686,safe
91,0.1681462675333023,safe
92,0.10726229101419449,safe
93,0.35210713744163513,safe
94,1.6976803541183472,warning
95,0.8603489398956299,safe
96,3.81415057182312,warning
97,5.8183393478393555,reverted
98,0.03141144663095474,cooldown
99,0.00025416279095225036,cooldown
100,1.572914719581604,cooldown
101,0.866831362247467,cooldown
102,0.09307140111923218,cooldown
103,3.4479992389678955,warning
104,0.4085775911808014,safe
105,0.7198453545570374,safe
106,3.1110901832580566,warning
107,6.210720539093018,reverted
108,0.018664266914129257,cooldown
109,0.3072792887687683,cooldown
110,0.31354138255119324,cooldown
111,0.20615845918655396,cooldown
112,5.41902494430542,cooldown
113,2.3322408199310303,warning
114,0.04303210228681564,safe
115,0.40174365043640137,safe
116,0.623019814491272,safe
117,0.07355165481567383,safe
118,3.6925511360168457,warning
119,0.09732650220394135,safe
120,0.001195174059830606,safe
121,3.404113531112671,warning
122,0.19971375167369843,safe
123,1.5602790117263794,warning
124,0.1302807480096817,safe
125,0.04344993084669113,safe
126,0.4897841215133667,safe
127,0.19051086902618408,safe
128,0.06282305717468262,safe
129,4.863348484039307,warning
130,1.2276722192764282,reverted
131,1.2244987487792969,cooldown
132,0.00016540911747142673,cooldown
133,1.261016845703125,cooldown
134,1.0644373893737793,cooldown
135,0.01975279487669468,cooldown
136,4.099183082580566,warning
137,0.43708279728889465,safe
138,6.904020847287029e-05,safe
139,5.744287967681885,warning
140,0.7793890833854675,safe
141,2.904745101928711,warning
142,0.5197498202323914,safe
143,1.173346996307373,warning
144,1.7703502178192139,reverted
145,0.0072374893352389336,cooldown
146,0.0002588974020909518,cooldown
147,0.579384446144104,cooldown
148,0.4861793518066406,cooldown
149,0.7979857325553894,cooldown
150,0.9603897333145142,warning
151,0.25738462805747986,safe
152,0.17941658198833466,safe
153,1.2438788414001465,warning
154,0.2193426787853241,safe
155,4.605141639709473,warning
156,0.5722695589065552,safe
157,0.16286243498325348,safe
158,0.5718549489974976,safe
159,0.3877038061618805,safe
160,1.911131739616394,warning
161,2.099281072616577,reverted
162,0.0009123607305809855,cooldown
163,0.44713789224624634,cooldown
164,0.1511581838130951,cooldown
165,0.4172990918159485,cooldown
166,1.7671713829040527,cooldown
167,0.5171594023704529,safe
168,0.18181732296943665,safe
169,0.31628966331481934,safe
170,0.2656431794166565,safe
171,0.22590267658233643,safe
172,0.012817089445888996,safe
173,2.1326069831848145,warning
174,0.861463189125061,reverted
175,1.1767041683197021,cooldown
176,0.9213008284568787,cooldown
177,0.1709221750497818,cooldown
178,0.7383096814155579,cooldown
179,1.7414429187774658,cooldown
180,0.01889299601316452,safe
181,0.07962088286876678,safe
182,0.1738598644733429,safe
183,0.5815135836601257,safe
184,0.7625895142555237,warning
185,0.019030893221497536,safe
186,0.22077369689941406,safe
187,1.3127901554107666,warning
188,0.012370510026812553,safe
189,2364.044921875,warning
190,2449.783203125,reverted
191,2533.3291015625,cooldown
192,2523.96435546875,cooldown
193,2464.730224609375,cooldown
